epoch,total_loss,actual_spike_rate,spike_nonzero_count,spike_element_count,total_spike_count_per_image,active_oscillator_count_per_image,mean_dense,absolute_mean_dense,raw_spike_rate,weighted_spike_rate,raw_spike_smooth,weighted_spike_smooth,raw_spike_diversity,weighted_spike_diversity,raw_structural,weighted_structural,raw_sample_diversity,weighted_sample_diversity,raw_temporal_balance,weighted_temporal_balance,raw_spatial_compactness,weighted_spatial_compactness,raw_edge_membrane,weighted_edge_membrane,raw_dense_magnitude_loss,weighted_dense_magnitude_loss,raw_dendritic_cancellation_loss,weighted_dendritic_cancellation_loss
1,6.865521294,0,0,2048000,0,0,-0.264580865,0.317997872,0.06124692,0.012249384,0.000162191,0,0.996668056,0,0.916577571,0.027497327,0.999989989,0.0399996,0.000595546,0,0.075317929,0,0.690649983,0.0069065,13.55754955,6.778774776,0.001875106,9.38E-05
2,6.588262733,0,0,2048000,0,0,-0.305552423,0.394110433,0.061257948,0.01225159,0.000198633,0,0.995227629,0,0.915216585,0.027456498,0.999985607,0.039999424,0.000708661,0,0.084230651,0,0.68767624,0.006876762,13.00299902,6.501499508,0.003579024,0.000178951
3,6.26790596,0,0,2048000,0,0,-0.354068793,0.484102397,0.061258516,0.012251703,0.000245009,0,0.99288824,0,0.913008029,0.027390241,0.999986712,0.039999468,0.000840421,0,0.094632517,0,0.685525494,0.006855255,12.36231727,6.181158634,0.00501376,0.000250688
4,5.902832832,0,0,2048000,0,0,-0.410694757,0.589529372,0.061243216,0.012248643,0.000304415,0,0.988978021,0,0.909319787,0.027279594,0.99999028,0.039999611,0.000992434,0,0.107185335,0,0.681627844,0.006816278,11.63236116,5.81618058,0.006161911,0.000308096
5,5.497729656,0,0,2048000,0,0,-0.475282596,0.710440138,0.061188264,0.012237653,0.000378822,0,0.982567837,0,0.903278346,0.02709835,0.999994005,0.03999976,0.001162639,0,0.12221501,0,0.676935158,0.006769352,10.82255931,5.411279655,0.006897495,0.000344875
6,5.060169098,0,0,2048000,0,0,-0.547403119,0.846202878,0.061019744,0.012203949,0.000468296,0,0.9726783,0,0.893967753,0.026819033,0.999996762,0.03999987,0.001344866,0,0.139583064,0,0.673086555,0.006730866,9.948109894,4.974054947,0.007207966,0.000360398
7,4.599550724,0.000226563,464,2048000,0.464,0.392,-0.62640711,0.995697276,0.060612061,0.012122412,0.000570639,0,0.958717135,0,0.880840547,0.026425216,0.999996169,0.039999847,0.001527303,0,0.15869515,0,0.67269245,0.006726924,9.027829033,4.513914516,0.007236456,0.000361823
8,4.125947433,0.001813477,3714,2048000,3.714,1.6,-0.711424342,1.157604161,0.059937448,0.01198749,0.000645703,0,0.940757177,0,0.863996495,0.025919895,0.999990939,0.039999638,0.001510566,0,0.175219816,0,0.671973211,0.006719732,8.081522617,4.040761309,0.011187507,0.000559375
9,3.649155148,0.004891602,10018,2048000,10.018,2.392,-0.801588225,1.33065053,0.058691661,0.011738332,0.000655319,0,0.91978941,0,0.844416185,0.025332486,0.99999588,0.039999835,0.001177503,0,0.185854502,0,0.669309143,0.006693091,7.128030437,3.564015219,0.027524038,0.001376202
10,3.179945185,0.007910645,16201,2048000,16.201,3,-0.895808909,1.512709861,0.057173647,0.011434729,0.000647396,0,0.898017773,0,0.824190425,0.024725713,0.999999323,0.039999973,0.000802696,0,0.197379915,0,0.642605769,0.006426058,6.189442284,3.094721142,0.052751614,0.002637581
11,2.728075144,0.00965918,19782,2048000,19.782,3,-0.992366077,1.700927086,0.055517679,0.011103536,0.000634914,0,0.877879939,0,0.805600517,0.024168016,0.999999598,0.039999984,0.000475766,0,0.215157408,0,0.498438514,0.004984385,5.288706276,2.644353138,0.069321753,0.003466088
12,2.302564701,0.010558105,21623,2048000,21.623,4.008,-1.090032394,1.893110205,0.051962773,0.010392555,0.000626474,0,0.860932048,0,0.790067067,0.023702012,0.999999645,0.039999986,0.000235553,0,0.23824119,0,0.388479948,0.003884799,4.442094044,2.221047022,0.070766585,0.003538329
13,1.896957194,0.022153809,45371,2048000,45.371,17.596,-1.190357239,2.093780771,0.043536815,0.008707363,0.000648522,0,0.847384444,0,0.777742676,0.02333228,0.999991724,0.039999669,8.86E-05,0,0.265823633,0,0.303528176,0.003035282,3.637222225,1.818611113,0.065429674,0.003271484
14,1.501957539,0.059177246,121195,2048000,121.195,38.208,-1.296661784,2.311666313,0.02999494,0.005998988,0.000682684,0,0.836888214,0,0.768266585,0.023047998,0.999977431,0.039999097,2.07E-05,0,0.294996322,0,0.270961191,0.002709612,2.854578234,1.427289117,0.058254617,0.002912731
15,1.149503765,0.11076709,226851,2048000,226.851,60.708,-1.402439211,2.532660734,0.015918017,0.003183603,0.000728635,0,0.828834744,0,0.761045506,0.022831365,0.999977562,0.039999102,1.92E-05,0,0.328580208,0,0.247711452,0.002477115,2.156884548,1.078442274,0.051406212,0.002570311
16,0.857166683,0.163849609,335564,2048000,335.564,73.539,-1.503566904,2.745411625,0.006595889,0.001319178,0.000776692,0,0.822579129,0,0.755463541,0.022663906,0.999978607,0.039999144,8.44E-05,0,0.364021685,0,0.226436447,0.002264364,1.577342021,0.78867101,0.044981584,0.002249079
17,0.635203833,0.2049375,419712,2048000,419.712,81.443,-1.594081821,2.935145082,0.001663965,0.000332793,0.000848291,0,0.817575305,0,0.751009868,0.022530296,0.999984146,0.039999366,0.000216366,0,0.398673249,0,0.215627825,0.002156278,1.136444202,0.568222101,0.039259927,0.001962996
18,0.471547179,0.235656738,482625,2048000,482.625,89.191,-1.673732471,3.100793501,0.000114232,2.28E-05,0.000931689,0,0.813669636,0,0.747544935,0.022426348,0.99998028,0.039999211,0.000388215,0,0.428974586,0,0.212544389,0.002125444,0.810545582,0.405272791,0.034010792,0.00170054
19,0.348835619,0.261784668,536135,2048000,536.135,96.916,-1.745404863,3.248895712,0.000378989,7.58E-05,0.001022969,0,0.810605585,0,0.74483305,0.022344991,0.999983467,0.039999339,0.000576718,0,0.454219066,0,0.213599921,0.002135999,0.565644932,0.282822466,0.029140515,0.001457026
20,0.259980758,0.283136719,579864,2048000,579.864,102.131,-1.808389721,3.378084846,0.001541924,0.000308385,0.00110423,0,0.808245243,0,0.742752852,0.022282586,0.999982312,0.039999292,0.00075975,0,0.475328174,0,0.215699694,0.002156997,0.387975209,0.193987604,0.02491794,0.001245897
21,0.197982142,0.301066406,616584,2048000,616.584,104.514,-1.862016464,3.487265892,0.003187006,0.000637401,0.001169254,0,0.806462946,0,0.741189955,0.022235699,0.999981764,0.039999271,0.000924598,0,0.492365625,0,0.216182519,0.002161825,0.263745638,0.131872819,0.021502621,0.001075131
22,0.154745699,0.314306152,643699,2048000,643.699,108.368,-1.908014744,3.580282963,0.005326687,0.001065337,0.001232164,0,0.805052759,0,0.739957238,0.022198717,0.999982435,0.039999297,0.001078198,0,0.507136342,0,0.215403941,0.002154039,0.176793812,0.088396906,0.018628072,0.000931404
23,0.123648742,0.32661084,668899,2048000,668.899,114.079,-1.948926207,3.662698772,0.007118683,0.001423737,0.001288031,0,0.803941617,0,0.73898473,0.022169542,0.999984235,0.039999369,0.001202697,0,0.518992104,0,0.214568227,0.002145682,0.114181018,0.057090509,0.016398086,0.000819904
24,0.10427411,0.334832031,685736,2048000,685.736,116.104,-1.981075163,3.7267873,0.008812126,0.001762425,0.001335277,0,0.803025606,0,0.738185014,0.02214555,0.999983381,0.039999335,0.001315637,0,0.529434997,0,0.214217248,0.002142172,0.07496927,0.037484635,0.014799867,0.000739993
25,0.089877782,0.342284668,700999,2048000,700.999,117.478,-2.010889519,3.786170399,0.009877673,0.001975535,0.001371556,0,0.802330961,0,0.737577603,0.022127328,0.999984447,0.039999378,0.001396916,0,0.537081059,0,0.212925927,0.002129259,0.045934995,0.022967498,0.013575741,0.000678787
26,0.081778214,0.345711426,708017,2048000,708.017,118,-2.032471706,3.828429676,0.010623257,0.002124651,0.001400692,0,0.801798059,0,0.7371139,0.022113417,0.999991117,0.039999645,0.001461678,0,0.543078589,0,0.212529229,0.002125292,0.029552238,0.014776119,0.012781826,0.000639091
27,0.076444004,0.347755859,712204,2048000,712.204,118,-2.050345665,3.863074442,0.010998882,0.002199776,0.00142117,0,0.801357972,0,0.736730175,0.022101905,0.999987658,0.039999506,0.00151133,0,0.547773962,0,0.210804343,0.002108043,0.018837883,0.009418942,0.012316654,0.000615833
28,0.073021207,0.347303223,711277,2048000,711.277,117.57,-2.064826494,3.890780527,0.011159788,0.002231958,0.001435078,0,0.801010761,0,0.736427898,0.022092837,0.999978643,0.039999146,0.001549045,0,0.551071929,0,0.210826343,0.002108263,0.011969022,0.005984511,0.012089887,0.000604494
29,0.071249404,0.346352539,709330,2048000,709.33,117,-2.074474136,3.90852573,0.011233958,0.002246792,0.001444105,0,0.800719201,0,0.736175306,0.022085259,0.999979558,0.039999182,0.001585074,0,0.55368114,0,0.211993614,0.002119936,0.008386431,0.004193215,0.012100436,0.000605022
30,0.069808244,0.345291016,707156,2048000,707.156,117,-2.083446774,3.924984676,0.011110408,0.002222082,0.001453655,0,0.800461668,0,0.735950232,0.022078507,0.999989933,0.039999597,0.001610282,0,0.555901964,0,0.207926245,0.002079262,0.005646616,0.002823308,0.012109803,0.00060549
31,0.068764373,0.342896484,702252,2048000,702.252,116.99,-2.091022552,3.938695621,0.010683706,0.002136741,0.001457908,0,0.800244553,0,0.735758863,0.022072766,0.99998667,0.039999467,0.001621949,0,0.557384352,0,0.206271245,0.002062712,0.003765598,0.001882799,0.012197797,0.00060989
32,0.068260737,0.340128906,696584,2048000,696.584,114.953,-2.096088264,3.947327831,0.010442762,0.002088552,0.001456941,0,0.800084785,0,0.735622483,0.022068674,0.999982232,0.039999289,0.001640367,0,0.55845704,0,0.20917476,0.002091748,0.002780951,0.001390475,0.012439978,0.000621999
33,0.06778068,0.337602051,691409,2048000,691.409,113.022,-2.101360264,3.95650729,0.010244039,0.002048808,0.001457601,0,0.799925366,0,0.735483838,0.022064515,0.999985501,0.03999942,0.001653962,0,0.559385392,0,0.208718074,0.002087181,0.001900868,0.000950434,0.01260648,0.000630324
34,0.067342473,0.335625,687360,2048000,687.36,111.964,-2.106335083,3.965209431,0.009822984,0.001964597,0.001456859,0,0.799788204,0,0.735363223,0.022060897,0.999984165,0.039999367,0.001655745,0,0.559954512,0,0.207152971,0.00207153,0.001213915,0.000606957,0.012782537,0.000639127
35,0.06720033,0.333249512,682495,2048000,682.495,108.846,-2.108714447,3.968599886,0.0096455,0.0019291,0.001447341,0,0.799667562,0,0.735258538,0.022057756,0.999987685,0.039999507,0.001664733,0,0.560502192,0,0.206303978,0.00206304,0.000988779,0.000494389,0.013130764,0.000656538
36,0.066976599,0.330976074,677839,2048000,677.839,107.22,-2.111683357,3.973309799,0.009256275,0.001851255,0.001439489,0,0.799555251,0,0.735159781,0.022054793,0.999989282,0.039999571,0.001662797,0,0.560716155,0,0.204376863,0.002043769,0.000714259,0.000357129,0.013401665,0.000670083
37,0.066837797,0.329305664,674418,2048000,674.418,106.097,-2.114077412,3.97695109,0.009003958,0.001800792,0.001432506,0,0.799461336,0,0.73507827,0.022052348,0.999987224,0.039999489,0.001662417,0,0.560657553,0,0.203879321,0.002038793,0.000533409,0.000266705,0.013593446,0.000679672
38,0.066689239,0.3274375,670592,2048000,670.592,104.707,-2.116611612,3.980981575,0.008688448,0.00173769,0.001425628,0,0.799386902,0,0.735014113,0.022050423,0.999988854,0.039999554,0.001656423,0,0.56046696,0,0.203076468,0.002030765,0.000364657,0.000182329,0.013769606,0.00068848
39,0.066587007,0.325890137,667423,2048000,667.423,102.423,-2.119222195,3.985273916,0.008498204,0.001699641,0.001420444,0,0.799306379,0,0.734944197,0.022048326,0.999992071,0.039999683,0.001656165,0,0.560119507,0,0.203439231,0.002034392,0.000219131,0.000109566,0.013908029,0.000695401
40,0.066514124,0.324914551,665425,2048000,665.425,100.43,-2.120966885,3.987841003,0.008229845,0.001645969,0.001410749,0,0.799235362,0,0.73488184,0.022046455,0.999991127,0.039999645,0.001651166,0,0.559617148,0,0.204206444,0.002042064,0.000150049,7.50E-05,0.014099351,0.000704968
41,0.06645053,0.324322754,664213,2048000,664.213,100,-2.122409748,3.989851166,0.007993195,0.001598639,0.001401895,0,0.799172181,0,0.73482632,0.02204479,0.999991298,0.039999652,0.001643776,0,0.559120772,0,0.204450194,0.002044502,0.00010405,5.20E-05,0.01421847,0.000710924
42,0.066388328,0.32390332,663354,2048000,663.354,99.353,-2.123855202,3.991908886,0.007768048,0.00155361,0.0013934,0,0.799107298,0,0.734769479,0.022043084,0.999993136,0.039999725,0.001637192,0,0.558623384,0,0.204247979,0.00204248,6.70E-05,3.35E-05,0.014318565,0.000715928
43,0.066336619,0.322855469,661208,2048000,661.208,98,-2.124685467,3.992713306,0.007529723,0.001505945,0.001384767,0,0.799037774,0,0.734707758,0.022041233,0.999994007,0.03999976,0.001630919,0,0.557950472,0,0.204100282,0.002041003,5.44E-05,2.72E-05,0.01442941,0.00072147
44,0.066274395,0.322214844,659896,2048000,659.896,97.365,-2.125845171,3.994236294,0.007280369,0.001456074,0.00137644,0,0.798971247,0,0.734648513,0.022039455,0.999995056,0.039999802,0.00162192,0,0.557166127,0,0.203783568,0.002037836,3.44E-05,1.72E-05,0.014480141,0.000724007
45,0.066231072,0.321542969,658520,2048000,658.52,97,-2.126484394,3.994703581,0.007080983,0.001416197,0.001368264,0,0.79889983,0,0.734584893,0.022037547,0.999990824,0.039999633,0.001615136,0,0.556418042,0,0.203663815,0.002036638,2.91E-05,1.46E-05,0.014529973,0.000726499
46,0.066184181,0.320464355,656311,2048000,656.311,96.585,-2.1270688,3.99506513,0.006877467,0.001375493,0.001360431,0,0.798820849,0,0.734513828,0.022035415,0.99999502,0.039999801,0.001606642,0,0.555718732,0,0.203328953,0.00203329,2.58E-05,1.29E-05,0.014545985,0.000727299
47,0.066137706,0.319461426,654257,2048000,654.257,96,-2.127557243,3.995236633,0.006688503,0.001337701,0.001352864,0,0.798735353,0,0.734436456,0.022033094,0.999993438,0.039999738,0.001596353,0,0.554999733,0,0.202840329,0.002028403,2.39E-05,1.19E-05,0.014536538,0.000726827
48,0.066092554,0.317961914,651186,2048000,651.186,96,-2.127982613,3.995282204,0.006506363,0.001301273,0.001345242,0,0.798648063,0,0.734357246,0.022030717,0.99999291,0.039999716,0.00158532,0,0.55422919,0,0.202386321,0.002023863,2.38E-05,1.19E-05,0.014501994,0.0007251
49,0.066054328,0.317101563,649424,2048000,649.424,96,-2.128512224,3.995558395,0.006349526,0.001269905,0.001336493,0,0.798561044,0,0.734278092,0.022028343,0.999993169,0.039999727,0.00157355,0,0.553377983,0,0.202275381,0.002022754,2.09E-05,1.04E-05,0.014463044,0.000723152
50,0.066022349,0.315657227,646466,2048000,646.466,96,-2.128586079,3.994881231,0.006235633,0.001247127,0.001330255,0,0.798443244,0,0.734171268,0.022025138,0.999991962,0.039999678,0.0015663,0,0.552819712,0,0.201631181,0.002016312,2.76E-05,1.38E-05,0.014406153,0.000720308
51,0.06599111,0.31483252,644777,2048000,644.777,96,-2.129011494,3.994917091,0.006130928,0.001226186,0.00132244,0,0.798291049,0,0.734031651,0.02202095,0.999994157,0.039999766,0.001557394,0,0.552212917,0,0.201428858,0.002014289,2.68E-05,1.34E-05,0.014330838,0.000716542
52,0.065942442,0.314163086,643406,2048000,643.406,95.422,-2.130047081,3.996218956,0.005974938,0.001194988,0.001315623,0,0.798110865,0,0.73386493,0.022015948,0.9999953,0.039999812,0.001545792,0,0.551536224,0,0.201164625,0.002011646,1.58E-05,7.92E-06,0.01424268,0.000712134
53,0.065885965,0.313530762,642111,2048000,642.111,95,-2.130797298,3.996925968,0.005774752,0.00115495,0.001306972,0,0.797917226,0,0.733684669,0.02201054,0.999994085,0.039999763,0.001529915,0,0.55054161,0,0.200739214,0.002007392,1.08E-05,5.40E-06,0.014158299,0.000707915
54,0.065837939,0.312897949,640815,2048000,640.815,95,-2.131396433,3.997297508,0.005616717,0.001123343,0.001300266,0,0.797668603,0,0.733453871,0.022003616,0.999994962,0.039999798,0.001518046,0,0.549769061,0,0.200377753,0.002003778,8.55E-06,4.27E-06,0.014062644,0.000703132
55,0.065793549,0.311617188,638192,2048000,638.192,95,-2.131339367,3.99629529,0.005470938,0.001094188,0.001293293,0,0.797360962,0,0.733168189,0.021995046,0.999994781,0.039999791,0.001505387,0,0.549007423,0,0.199964723,0.001999647,1.56E-05,7.79E-06,0.013941674,0.000697084
