nohup: ignoring input
Dataset: /Data0/kevinswk/datasets/object_centric_data/clevr_10-full.hdf5
Selected images: 1000 / 100000
Selected HDF5 range: [83810, 84810)
Train/validation: 900/100
Device: cuda
Visible GPU: NVIDIA TITAN RTX
Objects: 11 | Oscillators: 90
Epoch 0001/0200 | train=0.01163981 | validation=0.01040999
Epoch 0002/0200 | train=0.01036693 | validation=0.01078391
Epoch 0003/0200 | train=0.01030333 | validation=0.01071317
Epoch 0004/0200 | train=0.01028019 | validation=0.01028320
Epoch 0005/0200 | train=0.01019417 | validation=0.01015064
Epoch 0006/0200 | train=0.01020486 | validation=0.01030207
Epoch 0007/0200 | train=0.01016483 | validation=0.01019691
Epoch 0008/0200 | train=0.01019208 | validation=0.01023706
Epoch 0009/0200 | train=0.01015874 | validation=0.01020641
Epoch 0010/0200 | train=0.01016689 | validation=0.01021409
Epoch 0011/0200 | train=0.01014883 | validation=0.01014627
Epoch 0012/0200 | train=0.01014327 | validation=0.01012861
Epoch 0013/0200 | train=0.01013283 | validation=0.01012648
Epoch 0014/0200 | train=0.01013909 | validation=0.01014279
Epoch 0015/0200 | train=0.01012791 | validation=0.01020026
Epoch 0016/0200 | train=0.01010586 | validation=0.01014896
Epoch 0017/0200 | train=0.01011158 | validation=0.01013730
Epoch 0018/0200 | train=0.01012419 | validation=0.01018599
Epoch 0019/0200 | train=0.01012407 | validation=0.01024755
Epoch 0020/0200 | train=0.01010676 | validation=0.01015483
Epoch 0021/0200 | train=0.01011720 | validation=0.01016371
Epoch 0022/0200 | train=0.01010876 | validation=0.01004196
Epoch 0023/0200 | train=0.01013070 | validation=0.01015196
Epoch 0024/0200 | train=0.01008982 | validation=0.01014158
Epoch 0025/0200 | train=0.01011630 | validation=0.01021330
Epoch 0026/0200 | train=0.01012447 | validation=0.01018140
Epoch 0027/0200 | train=0.01010823 | validation=0.01015701
Epoch 0028/0200 | train=0.01009706 | validation=0.01015829
Epoch 0029/0200 | train=0.01010010 | validation=0.01014971
Epoch 0030/0200 | train=0.01010398 | validation=0.01009207
Epoch 0031/0200 | train=0.01011617 | validation=0.01019446
Epoch 0032/0200 | train=0.01012148 | validation=0.01005840
Epoch 0033/0200 | train=0.01009276 | validation=0.01011506
Epoch 0034/0200 | train=0.01011398 | validation=0.01011959
Epoch 0035/0200 | train=0.01010969 | validation=0.01016405
Epoch 0036/0200 | train=0.01008331 | validation=0.01037042
Epoch 0037/0200 | train=0.01012107 | validation=0.01025694
Epoch 0038/0200 | train=0.01010244 | validation=0.01026184
Epoch 0039/0200 | train=0.01012883 | validation=0.01023058
Epoch 0040/0200 | train=0.01008729 | validation=0.01016774
Epoch 0041/0200 | train=0.01009290 | validation=0.01009253
Epoch 0042/0200 | train=0.01011127 | validation=0.01016217
Epoch 0043/0200 | train=0.01000134 | validation=0.01026235
Epoch 0044/0200 | train=0.01009969 | validation=0.01018614
Epoch 0045/0200 | train=0.01005463 | validation=0.01032599
Epoch 0046/0200 | train=0.00999769 | validation=0.01039537
Epoch 0047/0200 | train=0.01012015 | validation=0.01014631
Epoch 0048/0200 | train=0.01004703 | validation=0.00985620
Epoch 0049/0200 | train=0.01011657 | validation=0.01020094
Epoch 0050/0200 | train=0.01010527 | validation=0.01027699
Epoch 0051/0200 | train=0.01006860 | validation=0.01053119
Epoch 0052/0200 | train=0.01009204 | validation=0.00989196
Epoch 0053/0200 | train=0.01009166 | validation=0.01030932
Epoch 0054/0200 | train=0.01011997 | validation=0.01008753
Epoch 0055/0200 | train=0.01009432 | validation=0.01006781
Epoch 0056/0200 | train=0.01008707 | validation=0.01006203
Epoch 0057/0200 | train=0.01008007 | validation=0.01012753
Epoch 0058/0200 | train=0.01012612 | validation=0.01018822
Epoch 0059/0200 | train=0.01008287 | validation=0.01008608
Epoch 0060/0200 | train=0.01009363 | validation=0.01014185
Epoch 0061/0200 | train=0.01007712 | validation=0.01013582
Epoch 0062/0200 | train=0.01003163 | validation=0.00998656
Epoch 0063/0200 | train=0.01010339 | validation=0.01014703
Epoch 0064/0200 | train=0.01007560 | validation=0.01007763
Epoch 0065/0200 | train=0.01004688 | validation=0.01014811
Epoch 0066/0200 | train=0.01008287 | validation=0.01020400
Epoch 0067/0200 | train=0.01000769 | validation=0.01025026
Epoch 0068/0200 | train=0.01009568 | validation=0.01016680
Epoch 0069/0200 | train=0.01008417 | validation=0.01011024
Epoch 0070/0200 | train=0.01006927 | validation=0.01013603
Epoch 0071/0200 | train=0.01007202 | validation=0.01017632
Epoch 0072/0200 | train=0.01008428 | validation=0.01013402
Epoch 0073/0200 | train=0.01003841 | validation=0.01006119
Epoch 0074/0200 | train=0.01007508 | validation=0.01005167
Epoch 0075/0200 | train=0.01008057 | validation=0.01013576
Epoch 0076/0200 | train=0.01007830 | validation=0.01012368
Epoch 0077/0200 | train=0.01008352 | validation=0.01010492
Epoch 0078/0200 | train=0.01007579 | validation=0.01020800
Epoch 0079/0200 | train=0.01008725 | validation=0.01014054
Epoch 0080/0200 | train=0.01007430 | validation=0.01008589
Epoch 0081/0200 | train=0.01004057 | validation=0.00999840
Epoch 0082/0200 | train=0.01004895 | validation=0.01003910
Epoch 0083/0200 | train=0.01001438 | validation=0.01007939
Epoch 0084/0200 | train=0.01010553 | validation=0.01028808
Epoch 0085/0200 | train=0.01009482 | validation=0.01016679
Epoch 0086/0200 | train=0.01007002 | validation=0.01009696
Epoch 0087/0200 | train=0.01007318 | validation=0.01010595
Epoch 0088/0200 | train=0.01007478 | validation=0.01015126
Epoch 0089/0200 | train=0.01009237 | validation=0.01012063
Epoch 0090/0200 | train=0.01008075 | validation=0.01009600
Epoch 0091/0200 | train=0.01007834 | validation=0.01007847
Epoch 0092/0200 | train=0.01007411 | validation=0.01011059
Epoch 0093/0200 | train=0.01009410 | validation=0.01010517
Epoch 0094/0200 | train=0.01007380 | validation=0.01015185
Epoch 0095/0200 | train=0.01008276 | validation=0.01008795
Epoch 0096/0200 | train=0.01007303 | validation=0.01009440
Epoch 0097/0200 | train=0.01007362 | validation=0.01013707
Epoch 0098/0200 | train=0.01007414 | validation=0.01016352
Epoch 0099/0200 | train=0.01007583 | validation=0.01013034
Epoch 0100/0200 | train=0.01007446 | validation=0.01012019
Epoch 0101/0200 | train=0.01006604 | validation=0.01016362
Epoch 0102/0200 | train=0.01007878 | validation=0.01010794
Epoch 0103/0200 | train=0.01009079 | validation=0.01012680
Epoch 0104/0200 | train=0.01008740 | validation=0.01011199
Epoch 0105/0200 | train=0.01006925 | validation=0.01011148
Epoch 0106/0200 | train=0.01006690 | validation=0.01011447
Epoch 0107/0200 | train=0.01006994 | validation=0.01016552
Epoch 0108/0200 | train=0.01007420 | validation=0.01011790
Epoch 0109/0200 | train=0.01008208 | validation=0.01011593
Epoch 0110/0200 | train=0.01007506 | validation=0.01014928
Epoch 0111/0200 | train=0.01007753 | validation=0.01011016
Epoch 0112/0200 | train=0.01007980 | validation=0.01009718
Epoch 0113/0200 | train=0.01006718 | validation=0.01011935
Epoch 0114/0200 | train=0.01008711 | validation=0.01014050
Epoch 0115/0200 | train=0.01008568 | validation=0.01019364
Epoch 0116/0200 | train=0.01007222 | validation=0.01011387
Epoch 0117/0200 | train=0.01006050 | validation=0.01014215
Epoch 0118/0200 | train=0.01007362 | validation=0.01011062
Epoch 0119/0200 | train=0.01005757 | validation=0.01008469
Epoch 0120/0200 | train=0.01008358 | validation=0.01013388
Epoch 0121/0200 | train=0.01008442 | validation=0.01009292
Epoch 0122/0200 | train=0.01007276 | validation=0.01012581
Epoch 0123/0200 | train=0.01008799 | validation=0.01015171
Epoch 0124/0200 | train=0.01009257 | validation=0.01011005
Epoch 0125/0200 | train=0.01006433 | validation=0.01013329
Epoch 0126/0200 | train=0.01005785 | validation=0.01013129
Epoch 0127/0200 | train=0.01007708 | validation=0.01012501
Epoch 0128/0200 | train=0.01008516 | validation=0.01011999
Epoch 0129/0200 | train=0.01008095 | validation=0.01012577
Epoch 0130/0200 | train=0.01006403 | validation=0.01013304
Epoch 0131/0200 | train=0.01008630 | validation=0.01010744
Epoch 0132/0200 | train=0.01007975 | validation=0.01013818
Epoch 0133/0200 | train=0.01007630 | validation=0.01015058
Epoch 0134/0200 | train=0.01006830 | validation=0.01014656
Epoch 0135/0200 | train=0.01006750 | validation=0.01012590
Epoch 0136/0200 | train=0.01007601 | validation=0.01012243
Epoch 0137/0200 | train=0.01006317 | validation=0.01012374
Epoch 0138/0200 | train=0.01009019 | validation=0.01017634
Epoch 0139/0200 | train=0.01007687 | validation=0.01010524
Epoch 0140/0200 | train=0.01007448 | validation=0.01012463
Epoch 0141/0200 | train=0.01007063 | validation=0.01016906
Epoch 0142/0200 | train=0.01007469 | validation=0.01012639
Epoch 0143/0200 | train=0.01007837 | validation=0.01012787
Epoch 0144/0200 | train=0.01006654 | validation=0.01011513
Epoch 0145/0200 | train=0.01008156 | validation=0.01012250
Epoch 0146/0200 | train=0.01008275 | validation=0.01009797
Epoch 0147/0200 | train=0.01007507 | validation=0.01011428
Epoch 0148/0200 | train=0.01007415 | validation=0.01011444
Epoch 0149/0200 | train=0.01006961 | validation=0.01011831
Epoch 0150/0200 | train=0.01008150 | validation=0.01014265
Epoch 0151/0200 | train=0.01007674 | validation=0.01012665
Epoch 0152/0200 | train=0.01006558 | validation=0.01010634
Epoch 0153/0200 | train=0.01006282 | validation=0.01012033
Epoch 0154/0200 | train=0.01006512 | validation=0.01014636
Epoch 0155/0200 | train=0.01008101 | validation=0.01014599
Epoch 0156/0200 | train=0.01006402 | validation=0.01013459
Epoch 0157/0200 | train=0.01007297 | validation=0.01013609
Epoch 0158/0200 | train=0.01007032 | validation=0.01012537
Epoch 0159/0200 | train=0.01006771 | validation=0.01011303
Epoch 0160/0200 | train=0.01007463 | validation=0.01011800
Epoch 0161/0200 | train=0.01006654 | validation=0.01011660
Epoch 0162/0200 | train=0.01006472 | validation=0.01012817
Epoch 0163/0200 | train=0.01006629 | validation=0.01014293
Epoch 0164/0200 | train=0.01006714 | validation=0.01011563
Epoch 0165/0200 | train=0.01007370 | validation=0.01012516
Epoch 0166/0200 | train=0.01006800 | validation=0.01012774
Epoch 0167/0200 | train=0.01007370 | validation=0.01013599
Epoch 0168/0200 | train=0.01006327 | validation=0.01012250
Epoch 0169/0200 | train=0.01006504 | validation=0.01012830
Epoch 0170/0200 | train=0.01006834 | validation=0.01011875
Epoch 0171/0200 | train=0.01007150 | validation=0.01010321
Epoch 0172/0200 | train=0.01007190 | validation=0.01012158
Epoch 0173/0200 | train=0.01007076 | validation=0.01010814
Epoch 0174/0200 | train=0.01006865 | validation=0.01011961
Epoch 0175/0200 | train=0.01007509 | validation=0.01014618
Epoch 0176/0200 | train=0.01007348 | validation=0.01011120
Epoch 0177/0200 | train=0.01007121 | validation=0.01011414
Epoch 0178/0200 | train=0.01006816 | validation=0.01010770
Epoch 0179/0200 | train=0.01006916 | validation=0.01012966
Epoch 0180/0200 | train=0.01006647 | validation=0.01010822
Epoch 0181/0200 | train=0.01006239 | validation=0.01010823
Epoch 0182/0200 | train=0.01006887 | validation=0.01010606
Epoch 0183/0200 | train=0.01007233 | validation=0.01013582
Epoch 0184/0200 | train=0.01006724 | validation=0.01011871
Epoch 0185/0200 | train=0.01006503 | validation=0.01012279
Epoch 0186/0200 | train=0.01007176 | validation=0.01017488
Epoch 0187/0200 | train=0.01006966 | validation=0.01012609
Epoch 0188/0200 | train=0.01007003 | validation=0.01011525
Epoch 0189/0200 | train=0.01006169 | validation=0.01011164
Epoch 0190/0200 | train=0.01006801 | validation=0.01011157
Epoch 0191/0200 | train=0.01006406 | validation=0.01011215
Epoch 0192/0200 | train=0.01007427 | validation=0.01011792
